Timestamp,Puzzle_Date,Model,Prompt_Type,Correct,Accuracy,Parse_Error,Token_Count,Thinking_Time_Sec
2025-05-04 15:59:14,2025-05-04,o3-mini,zero-shot,No,1,No,9395,62.143375873565674
2025-05-04 16:01:37,2025-05-04,o3-mini,few-shot,No,0,No,11453,142.90967679023743
2025-05-04 16:02:50,2025-05-04,o3-mini,cot,No,0,No,9095,73.02778697013855
2025-05-04 16:06:23,2025-05-04,o3,zero-shot,Yes,4,No,8187,128.45647287368774
2025-05-04 16:10:32,2025-05-04,o3,few-shot,Yes,4,No,14534,249.18440914154053
2025-05-04 16:14:12,2025-05-04,o3,cot,Yes,4,No,12110,220.17291808128357
2025-05-04 16:21:01,2025-04-17,o3-mini,zero-shot,No,1,No,8772,112.02807807922363
2025-05-04 16:22:42,2025-04-17,o3-mini,few-shot,Yes,4,No,9550,100.83492302894592
2025-05-04 16:23:31,2025-04-17,o3-mini,cot,Yes,4,No,5205,49.127779960632324
2025-05-04 16:25:33,2025-04-18,o3-mini,zero-shot,No,0,No,10903,122.17349100112915
2025-05-04 16:29:13,2025-04-18,o3-mini,few-shot,No,0,No,12932,220.2517650127411
2025-05-04 16:32:00,2025-04-18,o3-mini,cot,No,0,No,13578,166.7245910167694
2025-05-04 16:33:42,2025-04-19,o3-mini,zero-shot,Yes,4,No,10683,101.9350802898407
2025-05-04 16:34:07,2025-04-19,o3-mini,few-shot,Yes,4,No,3078,25.25761389732361
2025-05-04 16:35:09,2025-04-19,o3-mini,cot,Yes,4,No,6094,61.36231279373169
2025-05-04 16:37:30,2025-04-20,o3-mini,zero-shot,No,0,No,14197,141.3548719882965
2025-05-04 16:37:53,2025-04-20,o3-mini,few-shot,Yes,4,No,4094,22.826327085494995
2025-05-04 16:38:42,2025-04-20,o3-mini,cot,Yes,4,No,6021,49.04879426956177
2025-05-04 16:40:15,2025-04-21,o3-mini,zero-shot,No,2,No,10304,93.06959891319275
2025-05-04 16:40:54,2025-04-21,o3-mini,few-shot,Yes,4,No,4938,38.62071394920349
2025-05-04 16:41:52,2025-04-21,o3-mini,cot,No,2,No,5585,57.89875507354736
2025-05-04 16:42:47,2025-04-22,o3-mini,zero-shot,Yes,4,No,5428,55.47284412384033
2025-05-04 16:44:28,2025-04-22,o3-mini,few-shot,No,1,No,11300,100.84378480911255
2025-05-04 16:51:38,2025-04-22,o3-mini,cot,Yes,4,No,3079,430.107430934906
2025-05-04 16:51:45,2025-04-23,o3-mini,zero-shot,Yes,4,No,877,7.304064035415649
2025-05-04 16:51:56,2025-04-23,o3-mini,few-shot,Yes,4,No,1464,10.50203800201416
2025-05-04 16:52:09,2025-04-23,o3-mini,cot,Yes,4,No,1727,12.87917709350586
2025-05-04 16:53:16,2025-04-24,o3-mini,zero-shot,Yes,4,No,8146,67.33039784431458
2025-05-04 16:54:45,2025-04-24,o3-mini,few-shot,Yes,4,No,10204,88.65794897079468
2025-05-04 16:56:06,2025-04-24,o3-mini,cot,Yes,4,No,10401,81.56027388572693
2025-05-04 16:56:43,2025-04-25,o3-mini,zero-shot,Yes,4,No,3615,36.62102127075195
2025-05-04 16:57:17,2025-04-25,o3-mini,few-shot,Yes,4,No,3882,34.238677978515625
2025-05-04 16:57:33,2025-04-25,o3-mini,cot,Yes,4,No,2034,16.072112798690796
2025-05-04 16:57:53,2025-04-26,o3-mini,zero-shot,Yes,4,No,2291,19.758227348327637
2025-05-04 16:58:31,2025-04-26,o3-mini,few-shot,Yes,4,No,4352,37.697667837142944
2025-05-04 16:59:22,2025-04-26,o3-mini,cot,Yes,4,No,6660,51.390141010284424
2025-05-04 17:00:09,2025-04-27,o3-mini,zero-shot,Yes,4,No,5179,47.310492753982544
2025-05-04 17:00:51,2025-04-27,o3-mini,few-shot,Yes,4,No,5894,41.19370198249817
2025-05-04 17:01:38,2025-04-27,o3-mini,cot,Yes,4,No,5326,47.50249767303467
2025-05-04 17:02:00,2025-04-28,o3-mini,zero-shot,Yes,4,No,2491,22.01318597793579
2025-05-04 17:03:49,2025-04-28,o3-mini,few-shot,No,0,No,11530,109.1393690109253
2025-05-04 17:04:51,2025-04-28,o3-mini,cot,No,2,No,7309,62.04643392562866
2025-05-04 17:06:10,2025-04-29,o3-mini,zero-shot,No,2,No,10439,79.25494503974915
2025-05-04 17:06:35,2025-04-29,o3-mini,few-shot,Yes,4,No,3788,24.103617906570435
2025-05-04 17:08:19,2025-04-29,o3-mini,cot,No,2,No,13401,104.32885503768921
2025-05-04 17:09:24,2025-04-30,o3-mini,zero-shot,No,2,No,8507,64.90336108207703
2025-05-04 17:10:46,2025-04-30,o3-mini,few-shot,Yes,4,No,11653,82.22663927078247
2025-05-04 17:12:22,2025-04-30,o3-mini,cot,Yes,4,No,12427,95.54675197601318
2025-05-04 17:13:13,2025-05-01,o3-mini,zero-shot,No,1,No,9774,51.39692497253418
2025-05-04 17:14:05,2025-05-01,o3-mini,few-shot,No,1,No,9022,52.423017263412476
2025-05-04 17:14:57,2025-05-01,o3-mini,cot,No,1,No,8962,51.390028953552246
2025-05-04 17:15:39,2025-05-02,o3-mini,zero-shot,Yes,4,No,4337,42.08343505859375
2025-05-04 17:16:12,2025-05-02,o3-mini,few-shot,Yes,4,No,4794,33.341548204422
2025-05-04 17:16:55,2025-05-02,o3-mini,cot,Yes,4,No,4225,42.650691986083984
2025-05-04 17:19:21,2025-05-03,o3-mini,zero-shot,No,1,No,15734,146.23113703727722
2025-05-04 17:21:23,2025-05-03,o3-mini,few-shot,No,0,No,13501,121.64421010017395
2025-05-04 17:22:53,2025-05-03,o3-mini,cot,No,2,No,10911,89.83167672157288
2025-05-04 18:27:43,2025-04-17,o3,zero-shot,Yes,4,No,1035,23.002040147781372
2025-05-04 18:27:59,2025-04-17,o3,few-shot,Yes,4,No,1558,16.770998001098633
2025-05-04 18:28:07,2025-04-17,o3,cot,Yes,4,No,669,7.889641761779785
2025-05-04 18:42:41,2025-04-18,o3,zero-shot,Yes,4,No,10945,873.7348010540009
2025-05-04 19:00:26,2025-04-18,o3,few-shot,Yes,4,No,22476,1064.84685921669
2025-05-04 19:08:02,2025-04-18,o3,cot,Yes,4,No,22226,455.68460488319397
2025-05-04 19:10:05,2025-04-19,o3,zero-shot,Yes,4,No,4868,123.80239605903625
2025-05-04 19:12:22,2025-04-19,o3,few-shot,Yes,4,No,4942,136.17879509925842
2025-05-04 19:14:09,2025-04-19,o3,cot,Yes,4,No,4693,107.41945600509644
2025-05-04 19:15:36,2025-04-20,o3,zero-shot,Yes,4,No,3451,87.24440479278564
2025-05-04 19:16:03,2025-04-20,o3,few-shot,Yes,4,No,1926,26.44004201889038
2025-05-04 19:16:19,2025-04-20,o3,cot,Yes,4,No,1229,15.842518091201782
2025-05-04 19:19:48,2025-04-21,o3,zero-shot,Yes,4,No,8265,209.85789108276367
2025-05-04 19:21:50,2025-04-21,o3,few-shot,Yes,4,No,5458,121.19795298576355
2025-05-04 19:25:22,2025-04-21,o3,cot,Yes,4,No,7513,212.43521785736084
2025-05-04 19:27:02,2025-04-22,o3,zero-shot,Yes,4,No,3774,100.40546011924744
2025-05-04 19:30:37,2025-04-22,o3,few-shot,Yes,4,No,8265,214.17484712600708
2025-05-04 19:31:04,2025-04-22,o3,cot,Yes,4,No,1295,26.991425037384033
